host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
GJ 876,d,GJ 876 d,4,2005,0,http://exoplanet.eu/catalog/gj_876_d/
GJ 876,e,GJ 876 e,4,2010,0,http://exoplanet.eu/catalog/gj_876_e/
GJ 96,b,GJ 96 b,1,2018,0,http://exoplanet.eu/catalog/gj_96_b/
GJ 9827,b,GJ 9827 b,3,2017,0,http://exoplanet.eu/catalog/gj_9827_b/
GJ 9827,c,GJ 9827 c,3,2017,0,http://exoplanet.eu/catalog/gj_9827_c/
GJ 9827,d,GJ 9827 d,3,2017,0,http://exoplanet.eu/catalog/gj_9827_d/
GQ Lup,b,GQ Lup b,1,2004,0,http://exoplanet.eu/catalog/gq_lup_b/
GSC 06214-00210,b,GSC 06214-00210 b,1,2010,0,http://exoplanet.eu/catalog/gsc_6214-210_b/
GU Psc,b,GU Psc b,1,2014,0,http://exoplanet.eu/catalog/gu_psc_b/
Gl 378,b,Gl 378 b,1,2019,0,
Gl 49,b,Gl 49 b,1,2019,0,http://exoplanet.eu/catalog/gliese_49_b/
Gl 686,b,Gl 686 b,1,2018,0,http://exoplanet.eu/catalog/gl_686_b/
HAT-P-1,b,HAT-P-1 b,1,2006,0,http://exoplanet.eu/catalog/hat-p-1_b/
HAT-P-11,b,HAT-P-11 b,2,2008,0,http://exoplanet.eu/catalog/hat-p-11_b/
HAT-P-11,c,HAT-P-11 c,2,2018,0,http://exoplanet.eu/catalog/hat-p-11_c/
HAT-P-12,b,HAT-P-12 b,1,2009,0,http://exoplanet.eu/catalog/hat-p-12_b/
HAT-P-13,b,HAT-P-13 b,2,2009,0,http://exoplanet.eu/catalog/hat-p-13_b/
HAT-P-13,c,HAT-P-13 c,2,2009,0,http://exoplanet.eu/catalog/hat-p-13_c/
HAT-P-14,b,HAT-P-14 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-14_b/
HAT-P-15,b,HAT-P-15 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-15_b/
HAT-P-16,b,HAT-P-16 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-16_b/
HAT-P-17,b,HAT-P-17 b,2,2010,0,http://exoplanet.eu/catalog/hat-p-17_b/
HAT-P-17,c,HAT-P-17 c,2,2010,0,http://exoplanet.eu/catalog/hat-p-17_c/
HAT-P-18,b,HAT-P-18 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-18_b/
